datetime,value,units
08/15/2019 0:40:00,183,mg/dL
08/15/2019 0:45:00,182,mg/dL
08/15/2019 0:50:00,182,mg/dL
08/15/2019 0:55:00,182,mg/dL
08/15/2019 1:00:00,182,mg/dL
08/15/2019 1:05:00,185,mg/dL
08/15/2019 1:10:00,185,mg/dL
08/15/2019 1:15:00,171,mg/dL
08/15/2019 1:20:00,171,mg/dL
08/15/2019 1:25:00,165,mg/dL
08/15/2019 1:30:00,165,mg/dL
08/15/2019 1:35:00,163,mg/dL
08/15/2019 1:40:00,163,mg/dL
08/15/2019 1:45:00,163,mg/dL
08/15/2019 1:50:00,163,mg/dL
08/15/2019 1:55:00,162,mg/dL
08/15/2019 2:00:00,162,mg/dL
08/15/2019 2:05:00,158,mg/dL
08/15/2019 2:10:00,158,mg/dL
08/15/2019 2:15:00,153,mg/dL
08/15/2019 2:20:00,153,mg/dL
08/15/2019 2:25:00,155,mg/dL
08/15/2019 2:30:00,155,mg/dL
08/15/2019 2:35:00,151,mg/dL
08/15/2019 2:40:00,151,mg/dL
08/15/2019 2:45:00,147,mg/dL
08/15/2019 2:50:00,147,mg/dL
08/15/2019 2:55:00,146,mg/dL
08/15/2019 3:00:00,146,mg/dL
08/15/2019 3:05:00,134,mg/dL
08/15/2019 3:10:00,134,mg/dL
08/15/2019 3:15:00,126,mg/dL
08/15/2019 3:20:00,126,mg/dL
08/15/2019 3:25:00,122,mg/dL
08/15/2019 3:30:00,122,mg/dL
08/15/2019 3:35:00,130,mg/dL
08/15/2019 3:40:00,130,mg/dL
08/15/2019 3:45:00,129,mg/dL
08/15/2019 3:50:00,129,mg/dL
08/15/2019 3:55:00,117,mg/dL
08/15/2019 4:00:00,117,mg/dL
08/15/2019 4:05:00,107,mg/dL
08/15/2019 4:10:00,107,mg/dL
08/15/2019 4:15:00,109,mg/dL
08/15/2019 4:20:00,109,mg/dL
08/15/2019 4:25:00,108,mg/dL
08/15/2019 4:30:00,108,mg/dL
08/15/2019 4:35:00,111,mg/dL
08/15/2019 4:40:00,111,mg/dL
08/15/2019 4:45:00,112,mg/dL
08/15/2019 4:50:00,112,mg/dL
08/15/2019 4:55:00,109,mg/dL
08/15/2019 5:00:00,109,mg/dL
08/15/2019 5:05:00,107,mg/dL
08/15/2019 5:10:00,107,mg/dL
08/15/2019 5:15:00,109,mg/dL
08/15/2019 5:20:00,109,mg/dL
08/15/2019 5:25:00,108,mg/dL
08/15/2019 5:30:00,108,mg/dL
08/15/2019 5:35:00,112,mg/dL
08/15/2019 5:40:00,112,mg/dL
08/15/2019 5:45:00,110,mg/dL
08/15/2019 5:50:00,110,mg/dL
08/15/2019 5:55:00,112,mg/dL
08/15/2019 6:00:00,112,mg/dL
08/15/2019 6:05:00,112,mg/dL
08/15/2019 6:10:00,112,mg/dL
08/15/2019 6:15:00,107,mg/dL
08/15/2019 6:20:00,107,mg/dL
08/15/2019 6:25:00,104,mg/dL
08/15/2019 6:30:00,104,mg/dL
08/15/2019 6:35:00,104,mg/dL
08/15/2019 6:40:00,104,mg/dL
08/15/2019 6:45:00,106,mg/dL
08/15/2019 6:50:00,106,mg/dL
08/15/2019 6:55:00,102,mg/dL
08/15/2019 7:00:00,102,mg/dL
08/15/2019 7:05:00,100,mg/dL
08/15/2019 7:10:00,100,mg/dL
08/15/2019 7:15:00,102,mg/dL
08/15/2019 7:20:00,102,mg/dL
08/15/2019 7:25:00,102,mg/dL
08/15/2019 7:30:00,102,mg/dL
08/15/2019 7:35:00,103,mg/dL
08/15/2019 7:40:00,103,mg/dL
08/15/2019 7:45:00,100,mg/dL
08/15/2019 7:50:00,100,mg/dL
08/15/2019 7:55:00,99,mg/dL
08/15/2019 8:00:00,99,mg/dL
08/15/2019 8:05:00,98,mg/dL
08/15/2019 8:10:00,98,mg/dL
08/15/2019 8:15:00,96,mg/dL
08/15/2019 8:20:00,96,mg/dL
08/15/2019 8:25:00,94,mg/dL
08/15/2019 8:30:00,94,mg/dL
08/15/2019 8:35:00,93,mg/dL
08/15/2019 8:40:00,93,mg/dL
08/15/2019 8:45:00,92,mg/dL
08/15/2019 8:50:00,92,mg/dL
08/15/2019 8:55:00,92,mg/dL
08/15/2019 9:00:00,92,mg/dL
08/15/2019 9:05:00,92,mg/dL
08/15/2019 9:10:00,92,mg/dL
08/15/2019 9:15:00,92,mg/dL
08/15/2019 9:20:00,92,mg/dL
08/15/2019 9:25:00,92,mg/dL
08/15/2019 9:30:00,92,mg/dL
08/15/2019 9:35:00,95,mg/dL
08/15/2019 9:40:00,95,mg/dL
08/15/2019 9:45:00,97,mg/dL
08/15/2019 9:50:00,97,mg/dL
08/15/2019 9:55:00,97,mg/dL
08/15/2019 10:00:00,97,mg/dL
08/15/2019 10:05:00,97,mg/dL
08/15/2019 10:10:00,97,mg/dL
08/15/2019 10:15:00,94,mg/dL
08/15/2019 10:20:00,94,mg/dL
08/15/2019 10:25:00,92,mg/dL
08/15/2019 10:30:00,92,mg/dL
08/15/2019 10:35:00,96,mg/dL
08/15/2019 10:40:00,96,mg/dL
08/15/2019 10:45:00,93,mg/dL
08/15/2019 10:50:00,93,mg/dL
08/15/2019 10:55:00,89,mg/dL
08/15/2019 11:00:00,89,mg/dL
08/15/2019 11:05:00,85,mg/dL
08/15/2019 11:10:00,85,mg/dL
08/15/2019 11:15:00,81,mg/dL
08/15/2019 11:20:00,81,mg/dL
08/15/2019 11:25:00,77,mg/dL
08/15/2019 11:30:00,77,mg/dL
08/15/2019 11:35:00,73,mg/dL
08/15/2019 11:40:00,73,mg/dL
08/15/2019 11:45:00,70,mg/dL
08/15/2019 11:50:00,70,mg/dL
08/15/2019 11:55:00,67,mg/dL
